frame,area_ratio,thr,motion,win_hits,cand_ok,in_event,zero_streak,cooldown_left,bbox_x,bbox_y,bbox_w,bbox_h
0,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
1,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
2,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
3,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
4,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
5,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
6,0.00026123,0.00100000,0,0,0,0,0,0,588,7,6,8
7,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
8,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
9,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
10,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
11,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
12,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
13,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
14,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
15,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
16,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
17,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
18,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
19,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
20,0.00006104,0.00100000,0,0,0,0,0,0,33,97,5,5
21,0.00009033,0.00100000,0,0,0,0,0,0,0,38,3,10
22,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
23,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
24,0.00000000,0.00100000,0,0,0,0,0,0,-1,-1,-1,-1
25,0.00007813,0.00100000,0,0,0,0,0,0,438,214,6,8
26,0.00016846,0.00100000,0,0,0,0,0,0,438,211,7,12
27,0.00044922,0.00100000,0,0,0,0,0,0,437,209,9,21
28,0.00060791,0.00100000,0,0,0,0,0,0,437,208,9,22
29,0.00076172,0.00100000,0,0,0,0,0,0,437,208,9,13
30,0.00042236,0.00100000,0,0,0,0,0,0,437,208,8,10
31,0.00022461,0.00100000,0,0,0,0,0,0,170,215,7,7
32,0.00008301,0.00100000,0,0,0,0,0,0,172,217,7,5
33,0.00021973,0.00100000,0,0,0,0,0,0,454,173,6,9
34,0.00052979,0.00100000,0,0,0,0,0,0,440,188,7,12
35,0.00086670,0.00100000,0,0,0,0,0,0,438,144,10,23
36,0.00108154,0.00100000,1,1,0,0,0,0,440,178,8,22
37,0.00118896,0.00100000,1,2,0,0,0,0,151,146,8,20
38,0.00135742,0.00100000,1,3,0,0,0,0,151,146,12,39
39,0.00144043,0.00100000,1,4,0,0,0,0,151,146,12,40
40,0.00154053,0.00100000,1,5,0,0,0,0,152,146,13,40
